hour,,day,,,lat,lng,,,,,,,,weight
7,,wednesday,,,23.77456936,90.35529228,,,,,,,,6.1
1,,wednesday,,,23.77456936,90.35529228,,,,,,,,0
1,,tuesday,,,23.769808,90.351595,,,,,,,,0
3,,friday,,,23.728907,90.417137,,,,,,,,0
8,,thursday,,,23.847177,90.4041325,,,,,,,,21.9
8,,thursday,,,23.847177,90.4041325,,,,,,,,21.9
2,,sunday,,,23.913894,90.320686,,,,,,,,0.6
1,,saturday,,,23.913894,90.320686,,,,,,,,0
1,,friday,,,23.913894,90.320686,,,,,,,,0
2,,sunday,,,23.913894,90.320686,,,,,,,,0.6
11,,monday,,,23.913894,90.320686,,,,,,,,0
11,,sunday,,,23.913894,90.320686,,,,,,,,0
2,,sunday,,,23.913894,90.320686,,,,,,,,0.6
2,,saturday,,,23.913894,90.320686,,,,,,,,0
9,,friday,,,23.913894,90.320686,,,,,,,,7.8
6,,monday,,,23.913894,90.320686,,,,,,,,2.6
4,,sunday,,,23.913894,90.320686,,,,,,,,0
2,,sunday,,,23.913894,90.320686,,,,,,,,0.6
7,,monday,,,23.793708,90.453284,,,,,,,,10.3
5,,tuesday,,,23.793708,90.453284,,,,,,,,2.3
9,,sunday,,,23.793708,90.453284,,,,,,,,7
8,,thursday,,,23.793708,90.453284,,,,,,,,2.1
1,,thursday,,,23.793708,90.453284,,,,,,,,0
7,,monday,,,23.793708,90.453284,,,,,,,,10.3
7,,saturday,,,23.793708,90.453284,,,,,,,,1.1
4,,sunday,,,23.793708,90.453284,,,,,,,,12.3
3,,monday,,,23.793708,90.453284,,,,,,,,1.2
11,,saturday,,,23.716838,90.405322,,,,,,,,28
1,,monday,,,23.81851,90.41513,,,,,,,,0
1,,saturday,,,23.913894,90.320686,,,,,,,,0
1,,tuesday,,,23.784506,90.403409,,,,,,,,0
6,,wednesday,,,23.728907,90.417137,,,,,,,,0
3,,sunday,,,23.765913,90.426541,,,,,,,,0
8,,friday,,,23.716838,90.405322,,,,,,,,7.9
10,,sunday,,,23.7268465,90.3922105,,,,,,,,4.4
5,,monday,,,23.81039,90.406568,,,,,,,,35.7
11,,tuesday,,,23.717677,90.394341,,,,,,,,0
6,,saturday,,,23.728907,90.417137,,,,,,,,13.9
1,,tuesday,,,23.865506,90.413772,,,,,,,,0
8,,thursday,,,23.785337,90.342439,,,,,,,,27.2
3,,tuesday,,,23.785337,90.342439,,,,,,,,0
2,,thursday,,,23.721686,90.497766,,,,,,,,0
2,,thursday,,,23.721686,90.497766,,,,,,,,0
3,,friday,,,23.881433,90.2683015,,,,,,,,0
9,,sunday,,,23.90833,90.21667,,,,,,,,3.1
6,,friday,,,23.90833,90.21667,,,,,,,,0.8
7,,monday,,,23.90833,90.21667,,,,,,,,3.8
6,,wednesday,,,23.90833,90.21667,,,,,,,,0.6
6,,wednesday,,,23.90833,90.21667,,,,,,,,0.6
2,,wednesday,,,23.90833,90.21667,,,,,,,,0
5,,sunday,,,23.744806,90.373922,,,,,,,,5.1
1,,friday,,,23.744806,90.373922,,,,,,,,0
1,,monday,,,23.5958,90.1222,,,,,,,,0
2,,wednesday,,,23.700508,90.451953,,,,,,,,3.4
7,,friday,,,23.78241147,90.33740957,,,,,,,,1.7
6,,saturday,,,23.7917,90.4167,,,,,,,,3.5
10,,tuesday,,,23.740038,90.35886,,,,,,,,0
9,,monday,,,23.740038,90.35886,,,,,,,,13.9
4,,wednesday,,,23.70637,90.41431,,,,,,,,6.9
10,,sunday,,,23.728907,90.417137,,,,,,,,0.1
8,,sunday,,,23.784506,90.403409,,,,,,,,0.4
7,,sunday,,,23.714039,90.450656,,,,,,,,0.9
6,,friday,,,23.714039,90.450656,,,,,,,,1
1,,monday,,,23.714039,90.450656,,,,,,,,0
2,,sunday,,,23.714039,90.450656,,,,,,,,0
4,,thursday,,,23.714039,90.450656,,,,,,,,8.2
4,,thursday,,,23.714039,90.450656,,,,,,,,7.6
2,,monday,,,23.714039,90.450656,,,,,,,,0
5,,friday,,,23.714039,90.450656,,,,,,,,10.1
6,,thursday,,,23.714039,90.450656,,,,,,,,50.4
2,,sunday,,,23.728907,90.417137,,,,,,,,0
8,,saturday,,,23.7931,90.3861,,,,,,,,19.1
4,,monday,,,23.747314,90.386673,,,,,,,,3.1
5,,thursday,,,23.777843,90.361078,,,,,,,,13.8
6,,sunday,,,23.784506,90.403409,,,,,,,,13.3
12,,friday,,,23.737146,90.410583,,,,,,,,0
4,,monday,,,23.68333,90.33333,,,,,,,,36.5
6,,friday,,,23.752027,90.421808,,,,,,,,8.8
1,,thursday,,,23.752027,90.421808,,,,,,,,0
5,,friday,,,23.752027,90.421808,,,,,,,,3.7
1,,monday,,,23.714039,90.450656,,,,,,,,0
5,,wednesday,,,23.728907,90.417137,,,,,,,,15.8
8,,saturday,,,23.721427,90.375435,,,,,,,,5.5
7,,friday,,,23.721427,90.375435,,,,,,,,7.1
5,,saturday,,,23.793708,90.453284,,,,,,,,0.4
2,,wednesday,,,23.728907,90.417137,,,,,,,,0
8,,monday,,,23.728907,90.417137,,,,,,,,3.7
8,,monday,,,23.728907,90.417137,,,,,,,,3.7
12,,friday,,,23.729159,90.441764,,,,,,,,0
3,,sunday,,,23.805381,90.374565,,,,,,,,0
4,,monday,,,23.805381,90.374565,,,,,,,,36.5
5,,friday,,,23.805381,90.374565,,,,,,,,0.1
8,,tuesday,,,23.805381,90.374565,,,,,,,,8.1
9,,sunday,,,23.805381,90.374565,,,,,,,,7
1,,monday,,,23.805381,90.374565,,,,,,,,0
9,,sunday,,,23.805381,90.374565,,,,,,,,7
11,,tuesday,,,23.805381,90.374565,,,,,,,,0
2,,tuesday,,,23.805381,90.374565,,,,,,,,0
8,,thursday,,,23.754232,90.410831,,,,,,,,2.1
2,,sunday,,,23.784506,90.403409,,,,,,,,0
7,,wednesday,,,23.784506,90.403409,,,,,,,,6.1
9,,wednesday,,,23.760178,90.355229,,,,,,,,1.2
9,,wednesday,,,23.760178,90.355229,,,,,,,,1.8
9,,wednesday,,,23.760178,90.355229,,,,,,,,1.2
8,,monday,,,23.760178,90.355229,,,,,,,,4.3
8,,thursday,,,23.760178,90.355229,,,,,,,,5
10,,thursday,,,23.760178,90.355229,,,,,,,,22.7
1,,sunday,,,23.760178,90.355229,,,,,,,,0
10,,thursday,,,23.760178,90.355229,,,,,,,,22.7
9,,sunday,,,23.800242,90.366958,,,,,,,,7
9,,sunday,,,23.800242,90.366958,,,,,,,,7
9,,sunday,,,23.800242,90.366958,,,,,,,,7
6,,thursday,,,23.784506,90.403409,,,,,,,,6.3
3,,thursday,,,23.728907,90.417137,,,,,,,,0
2,,wednesday,,,23.7350915,90.3842575,,,,,,,,2
2,,friday,,,23.7350915,90.3842575,,,,,,,,0
5,,tuesday,,,23.77337857,90.4097081,,,,,,,,2.3
7,,thursday,,,23.794413,90.413735,,,,,,,,19.1
5,,monday,,,23.794413,90.413735,,,,,,,,17.2
4,,friday,,,23.794413,90.413735,,,,,,,,2.6
1,,sunday,,,23.827398,90.364473,,,,,,,,0
12,,monday,,,23.827398,90.364473,,,,,,,,0
1,,wednesday,,,23.827398,90.364473,,,,,,,,0
5,,wednesday,,,23.748663,90.404175,,,,,,,,11.3
7,,wednesday,,,23.759994,90.420113,,,,,,,,5.1
7,,saturday,,,23.77731,90.43628,,,,,,,,1.4
9,,saturday,,,23.784506,90.403409,,,,,,,,1.5
4,,monday,,,23.85833,90.26667,,,,,,,,0.5
2,,saturday,,,23.85833,90.26667,,,,,,,,0
5,,tuesday,,,23.85833,90.26667,,,,,,,,5.9
9,,sunday,,,23.85833,90.26667,,,,,,,,9.2
8,,monday,,,23.85833,90.26667,,,,,,,,3.1
2,,monday,,,23.85833,90.26667,,,,,,,,0
4,,sunday,,,23.85833,90.26667,,,,,,,,0.2
9,,tuesday,,,23.85833,90.26667,,,,,,,,0
1,,thursday,,,23.85833,90.26667,,,,,,,,0
12,,thursday,,,23.85833,90.26667,,,,,,,,0
