Date,Time,Shift,Place,Crime type,Gender,Latitude,Longitude,Link
2025-10-20,5:30,Morning,Rayerbag,Robbery,Male,23.69612163,90.46129703,https://www.thedailystar.net/news/bangladesh/crime-justice/news/police-constable-stabbed-mugged-rayerbagh-4014586
2025-10-25,20:45,Night,Manik Mia Avenue,Robbery,Male,23.75845419,90.37923352,https://www.thedailystar.net/news/bangladesh/crime-justice/news/senior-judge-mugged-dhakas-manik-mia-avenue-phone-snatched
2025-10-27,14:20,Noon,Bosila,Harassment,Female,23.75453459,90.35929947,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-sent-jail-assaulting-woman-dhaka-bus-4024031
2025-10-01,23:15,Night,Adabor,Stab,Male,23.77306961,90.35310983,https://www.thedailystar.net/news/bangladesh/crime-justice/news/constable-stabbed-during-rescue-drive-adabor-around-100-detained
2025-09-07,15:30,Noon,Mohammadpur,Robbery,Male,23.76779889,90.35642257,https://www.thedailystar.net/news/bangladesh/crime-justice/news/mob-beats-youth-death-dhaka-3981246
2025-09-11,9:15,Morning,Kadamtali,Body Found,Female,23.70090168,90.39521261,https://www.thedailystar.net/news/bangladesh/crime-justice/news/womans-body-found-sack-kadamtali-3984256
2025-09-14,21:30,Night,Kalshi,Stab,Female,23.82213399,90.37577949,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-shot-sister-stabbed-dhakas-kalshi-3985906
2025-09-14,21:30,Night,Kalshi,Stab,Male,23.82213399,90.37577949,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-shot-sister-stabbed-dhakas-kalshi-3985906
2025-09-15,9:00,Morning,Adabor,Murder,Male,23.77306961,90.35310983,https://www.thedailystar.net/news/bangladesh/news/man-killed-adabor-3987516
2025-09-26,10:00,Morning,300 Feet,Body Found,Male,23.83745068,90.4824847,https://www.thedailystar.net/news/bangladesh/news/missing-ex-sad-leader-found-dhaka-mosque-after-four-days-3995376
2025-09-26,16:00,Afternoon,Lalbagh,Body Found,Male,23.72709665,90.38545471,https://www.thedailystar.net/news/bangladesh/crime-justice/news/bankers-body-recovered-dhakas-lalbagh-3995656
2025-09-28,13:45,Noon,Mirpur 12,Stab,Male,23.82819417,90.36415407,https://www.thedailystar.net/news/bangladesh/crime-justice/news/youth-stabbed-death-mirpur-3997676
2025-11-12,15:00,Noon,Shahbag,Body Found,Male,23.74015268,90.39394146,https://www.thedailystar.net/news/bangladesh/crime-justice/news/dismembered-body-found-plastic-drums-near-hc-4034371
2025-11-16,18:40,Evening,Pallabi,Murder,Male,23.83495094,90.36072457,https://www.thedailystar.net/news/bangladesh/crime-justice/news/jubo-dal-leader-shot-dead-pallabi-shop-4037586
2025-11-24,3:00,Night,Uttara,Stab,Male,23.87821376,90.37210683,https://www.thedailystar.net/news/bangladesh/crime-justice/news/two-traders-stabbed-mugged-tk-148-lakh-dhakas-uttara-4042486
2025-10-05,6:30,Morning,Gendaria,Body Found,Female,23.70241441,90.42550075,https://www.thedailystar.net/news/bangladesh/crime-justice/news/womans-body-found-near-gendaria-railway-station-4002331
2025-10-09,21:30,Night,Shahbag,Body Found,Male,23.74015268,90.39394146,https://www.thedailystar.net/news/bangladesh/crime-justice/news/police-recover-three-bodies-dhakas-shahbagh-area-4006796
2025-10-09,21:30,Night,Dhaka University,Body Found,Female,23.73405631,90.39292519,https://www.thedailystar.net/news/bangladesh/crime-justice/news/police-recover-three-bodies-dhakas-shahbagh-area-4006796
2025-10-09,0:00,Night,Dhaka Central Shaheed Minar,Body Found,Male,23.72735584,90.39664645,https://www.thedailystar.net/news/bangladesh/crime-justice/news/police-recover-three-bodies-dhakas-shahbagh-area-4006796
2025-10-12,2:30,Night,Khilgaon,Robbery+Stab,Male,23.75655672,90.46777585,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-shot-motorcycle-snatched-khilgaon-4007891
2025-10-12,16:00,Afternoon,Jurain,Murder,Male,23.69045675,90.43751938,https://www.thedailystar.net/news/bangladesh/crime-justice/news/man-killed-over-tk-6000-loan-4009431
2025-10-12,23:15,Night,Kalabagan,Body Found,Female,23.74944007,90.38294715,https://www.thedailystar.net/news/bangladesh/crime-justice/news/womans-body-found-inside-freezer-kalabagan-flat-4009416
