id,incident_month,incident_week,day,weekend,part_of_the_day,hour,,lat,long,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,,humidity,visibility,,,season,crime,weight
0,7,29,wednesday,0,morning,6 - 11:59,,23.77456936,90.35529228,adabar,dhaka,dhaka,30,28,26,356,,88,10,,,rainy,murder,10
1,1,2,wednesday,0,night,20 - 5:59,,23.77456936,90.35529228,adabar,dhaka,dhaka,27,23,16,113,,54,10,,,winter,murder,10
2,1,4,tuesday,0,night,20 - 5:59,,23.769808,90.351595,adabor,dhaka,dhaka,32,26,19,113,,43,10,,,winter,murder,10
3,3,9,friday,1,night,20 - 5:59,,23.728907,90.417137,aftabnagar,dhaka,dhaka,35,30,24,113,,52,10,,,hot,murder,10
4,8,34,thursday,0,night,20 - 5:59,,23.847177,90.4041325,airport,dhaka,dhaka,34,32,28,359,,71,9,,,rainy,murder,10
5,8,34,thursday,0,night,20 - 5:59,,23.847177,90.4041325,airport,dhaka,dhaka,34,32,28,359,,71,9,,,rainy,murder,10
6,2,7,sunday,0,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,,53,10,,,winter,murder,10
7,1,1,saturday,1,evening,18 - 19:59,,23.913894,90.320686,ashulia,dhaka,dhaka,29,23,18,116,,49,10,,,winter,murder,10
8,1,2,friday,1,evening,18 - 19:59,,23.913894,90.320686,ashulia,dhaka,dhaka,26,22,15,113,,40,10,,,winter,murder,10
9,2,7,sunday,0,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,,53,10,,,winter,murder,10
10,11,46,monday,0,morning,6 - 11:59,,23.913894,90.320686,ashulia,dhaka,dhaka,32,28,24,113,,57,10,,,winter,murder,10
11,11,45,sunday,0,morning,6 - 11:59,,23.913894,90.320686,ashulia,dhaka,dhaka,34,29,24,113,,54,10,,,winter,murder,10
12,2,7,sunday,0,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,,53,10,,,winter,murder,10
13,2,7,saturday,1,morning,6 - 11:59,,23.913894,90.320686,ashulia,dhaka,dhaka,28,24,21,116,,52,10,,,winter,murder,10
14,9,36,friday,1,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,35,32,28,356,,73,9,,,rainy,murder,10
15,6,23,monday,0,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,34,32,28,386,,72,10,,,rainy,murder,10
16,4,14,sunday,0,morning,6 - 11:59,,23.913894,90.320686,ashulia,dhaka,dhaka,43,37,27,113,,55,10,,,hot,murder,10
17,2,7,sunday,0,night,20 - 5:59,,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,,53,10,,,winter,murder,10
18,7,31,monday,0,evening,18 - 19:59,,23.793708,90.453284,badda,dhaka,dhaka,35,33,29,356,,70,9,,,rainy,murder,10
19,5,19,tuesday,0,night,20 - 5:59,,23.793708,90.453284,badda,dhaka,dhaka,36,33,28,386,,71,10,,,hot,murder,10
20,9,37,sunday,0,noon,12 - 15:59,,23.793708,90.453284,badda,dhaka,dhaka,35,32,28,176,,72,9,,,rainy,murder,10
21,8,31,thursday,0,night,20 - 5:59,,23.793708,90.453284,badda,dhaka,dhaka,33,31,26,386,,78,10,,,rainy,murder,10
22,1,3,thursday,0,night,20 - 5:59,,23.793708,90.453284,badda,dhaka,dhaka,30,25,18,113,,51,10,,,winter,murder,10
23,7,31,monday,0,evening,18 - 19:59,,23.793708,90.453284,badda,dhaka,dhaka,35,33,29,356,,70,9,,,rainy,murder,10
24,7,29,saturday,1,night,20 - 5:59,,23.793708,90.453284,badda,dhaka,dhaka,35,32,28,353,,73,10,,,rainy,murder,10
25,4,16,sunday,0,afternoon,16 - 17:59,,23.793708,90.453284,badda,dhaka,dhaka,35,32,27,356,,69,9,,,hot,murder,10
26,3,12,monday,0,night,20 - 5:59,,23.793708,90.453284,badda,dhaka,dhaka,34,30,24,176,,42,10,,,hot,murder,10
27,11,44,saturday,1,night,20 - 5:59,,23.716838,90.405322,bangshal,dhaka,dhaka,24,24,23,302,,94,8,,,winter,murder,10
28,1,4,monday,0,night,20 - 5:59,,23.81851,90.41513,baridhara,dhaka,dhaka,31,27,21,113,,44,10,,,winter,murder,10
29,1,1,saturday,1,evening,18 - 19:59,,23.913894,90.320686,ashulia,dhaka,dhaka,29,23,18,116,,49,10,,,winter,murder,10
30,1,4,tuesday,0,night,20 - 5:59,,23.784506,90.403409,bhasantek,dhaka,dhaka,32,27,21,113,,43,10,,,winter,murder,10
